"action_type","display_name","description","param_hint","default_params","catalog","only_model_ids","exclude_model_ids"
"#action_type","#动作类型","#显示名称","#动作描述","#参数提示","#默认参数","#所属目录","#专用车型ID(分号分隔)","#排除车型ID(分号分隔)"
"PLAY_CARD","播放卡片","播放指定的音频卡片","选择要播放的卡片","{}","AUDIO","",""
"DELAY","延迟","延迟指定的秒数后继续执行下一个动作","延迟 1 秒","{""delay"":1}","SYSTEM","",""
"STOP_AUDIO","停止音频","停止当前正在播放的音频","无需参数","{}","AUDIO","",""
"TOGGLE_VOICE","切换喊话","开启或关闭实时喊话功能","无需参数","{}","VOICE","",""
"START_VOICE","开启喊话","强制开启实时喊话功能","无需参数","{}","VOICE","",""
"STOP_VOICE","关闭喊话","强制关闭实时喊话功能","无需参数","{}","VOICE","",""
"OPEN_TOY_BOX","打开玩具箱","打开奕派玩具箱搞怪音效界面","无需参数","{}","TOY_BOX","7",""
"CLOSE_TOY_BOX","关闭玩具箱","关闭奕派玩具箱界面","无需参数","{}","TOY_BOX","7",""
"TOGGLE_TOY_BOX","切换玩具箱","打开或关闭奕派玩具箱界面(根据当前状态自动切换)","无需参数","{}","TOY_BOX","7",""
"OPEN_APP","打开应用","打开指定包名的应用","输入应用包名","{""packageName"":""""}","SYSTEM","",""
"GESTURE_TAP","模拟点击(无障碍)","在指定坐标位置模拟屏幕点击","设置点击坐标","{""x"":0,""y"":0}","SYSTEM","",""
"GESTURE_DOUBLE_TAP","双击屏幕(无障碍)","在指定坐标位置模拟双击","设置双击坐标","{""x"":0,""y"":0}","SYSTEM","",""
"GESTURE_SWIPE","滑动(无障碍)","从起点滑动到终点","设置起点终点和时长","{""startX"":0,""startY"":0,""endX"":0,""endY"":0,""duration"":300}","SYSTEM","",""
"GESTURE_PINCH","捏合缩放(无障碍)","在指定位置模拟双指捏合或缩放","设置中心点和缩放比例","{""centerX"":0,""centerY"":0,""scale"":1.0,""duration"":500}","SYSTEM","",""
"GLOBAL_BACK","返回(无障碍)","通过无障碍服务执行返回操作","无需参数","{}","SYSTEM","",""
"GLOBAL_HOME","主页","回到主页","无需参数","{}","SYSTEM","",""
"GLOBAL_RECENTS","最近任务(无障碍)","通过无障碍服务打开最近任务","无需参数","{}","SYSTEM","",""
"GLOBAL_NOTIFICATIONS","通知栏(无障碍)","通过无障碍服务打开通知栏","无需参数","{}","SYSTEM","",""
"SET_VOLUME","设置音量","设置指定媒体流的音量","选择流类型和音量值","{""streamType"":3,""volume"":50}","VOLUME","",""
"MASTER_MUTE","全局静音","通过系统接口设置全局静音或取消静音(需要root权限)","设置静音或取消","{""mute"":true}","VOLUME","",""
"HEATED_COCKPIT","恒温座舱","通过情景模式服务控制恒温座舱(正常/低功耗/关闭)","选择操作和模式","{""operation"":""open"",""mode"":""normal_power""}","CAR_CONTROL","1",""
"HEATED_COCKPIT_A11Y","恒温座舱(无障碍)","通过无障碍服务打开情景模式恒温座舱界面并点击按钮(正常功耗/低功耗/关闭)","选择操作和模式","{""operation"":""open"",""mode"":""normal_power""}","CAR_CONTROL","1",""
"ONE_KEY_POWER_OFF","一键下电","通过MegaController服务执行一键下电","无需参数","{}","CAR_CONTROL","1",""
"SHELL_COMMAND","执行命令","在本地执行Shell命令","输入要执行的命令","{""command"":""""}","ADVANCED","",""
"SEND_INTENT","发送意图","发送自定义Intent到指定目标(支持Service/广播/Activity)","配置Intent参数","{""action"":"""",""targetPackage"":"""",""targetClass"":"""",""dataUri"":"""",""deliveryMethod"":""service"",""extras"":{}}","ADVANCED","",""
"TOGGLE_FOG_LIGHT","开关雾灯","开启或关闭雾灯(深蓝专用)","选择操作","{""operation"":""open""}","CAR_CONTROL","1",""
"SWITCH_DRIVE_MODE","切换驾驶模式","切换运动/舒适/标准等驾驶模式(深蓝专用)","选择模式","{""mode"":""SPORT_MODE""}","CAR_CONTROL","1",""
"TOGGLE_MIRROR","展开/折叠后视镜","展开或折叠外后视镜(深蓝专用)","选择操作","{""operation"":""unfold""}","CAR_CONTROL","1",""
"OPEN_SURROUND_VIEW","打开360环视","通过NLU打开或关闭360环视(深蓝专用)","选择操作","{""operation"":""open""}","CAR_CONTROL","1",""
"OPEN_SURROUND_VIEW_A11Y","无障碍打开360环视","通过无障碍下拉通知栏优先查找360环视，失败回退桌面图标(深蓝专用)","设置查找超时与重试次数","{""entryTimeoutMs"":2500,""retryCount"":5}","CAR_CONTROL","1",""
"SPEAK_TEXT","播放文本","通过TTS播报指定文本","设置播报文本与队列模式","{""text"":""请注意安全"",""engine"":""com.mega.tts"",""queueMode"":""flush""}","CAR_CONTROL","",""
"HVAC_AIR_CONTROL","空调控制","设置空调前后排、温度、风速和模式(深蓝专用)","设置前后排/温度/风速/模式","{""position"":""front"",""temperature"":""22"",""fanSpeed"":""3"",""mode"":""auto""}","CAR_CONTROL","1",""
"SHOW_TOAST","显示Toast","显示指定文本的Toast提示","设置文本与显示时长","{""text"":""操作已执行"",""duration"":""short""}","SYSTEM","",""
"TOGGLE_AIR_CONDITIONER","开关空调","开启或关闭空调(深蓝专用)","选择操作","{""operation"":""open""}","CAR_CONTROL","1",""
"TOGGLE_TRUNK","开关后备箱","打开或关闭后备箱(深蓝专用)","选择操作","{""operation"":""open""}","CAR_CONTROL","1",""
"TOGGLE_CHILD_LOCK","开关儿童锁","开启或关闭儿童锁(深蓝专用)","选择操作","{""operation"":""open""}","CAR_CONTROL","1",""
